GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 2.247	 1.016	-2.000	-0.125	 25.8	 3.181	-1.434	-0.687
 2.246	 1.014	-2.000	-0.121	 25.9	 3.113	-1.480	-0.717
 2.246	 1.016	-2.000	-0.112	 25.8	 3.059	-1.366	-0.725
 2.244	 1.011	-2.000	-0.119	 25.9	 2.991	-1.381	-0.656
 2.244	 1.011	-2.000	-0.118	 25.9	 3.036	-1.411	-0.694
 2.244	 1.012	-2.000	-0.110	 25.8	 3.082	-1.442	-0.748
 2.245	 1.012	-2.000	-0.114	 25.9	 3.090	-1.434	-0.732
 2.245	 1.012	-2.000	-0.121	 25.9	 3.166	-1.389	-0.755
 2.247	 1.019	-2.000	-0.113	 25.8	 3.120	-1.389	-0.778
 2.247	 1.017	-2.000	-0.120	 25.9	 3.059	-1.419	-0.786
 2.244	 1.010	-2.000	-0.127	 25.8	 3.044	-1.381	-0.809
 2.246	 1.015	-2.000	-0.120	 25.8	 3.059	-1.396	-0.832
 2.244	 1.011	-2.000	-0.122	 25.8	 3.067	-1.465	-0.710
 2.243	 1.008	-2.000	-0.118	 25.8	 3.082	-1.534	-0.580
 2.242	 1.006	-2.000	-0.115	 25.8	 3.098	-1.495	-0.656
 2.243	 1.009	-2.000	-0.119	 25.8	 3.082	-1.495	-0.664
 2.244	 1.011	-2.000	-0.122	 25.8	 3.029	-1.427	-0.633
 2.247	 1.017	-2.000	-0.125	 25.8	 3.029	-1.465	-0.557
 2.246	 1.016	-2.000	-0.120	 25.8	 2.998	-1.488	-0.557
 2.243	 1.008	-2.000	-0.126	 25.8	 3.029	-1.442	-0.557
 2.244	 1.010	-2.000	-0.124	 25.8	 3.090	-1.381	-0.526
 2.245	 1.013	-2.000	-0.121	 25.9	 3.143	-1.495	-0.496
 2.246	 1.015	-2.000	-0.117	 25.8	 3.113	-1.579	-0.473
 2.244	 1.010	-2.000	-0.112	 25.8	 3.059	-1.534	-0.458
 2.242	 1.007	-2.000	-0.118	 25.8	 3.044	-1.579	-0.481
 2.242	 1.006	-2.000	-0.113	 25.9	 2.983	-1.572	-0.481
 2.241	 1.004	-2.000	-0.116	 25.8	 2.998	-1.534	-0.404
 2.242	 1.007	-2.000	-0.114	 25.9	 3.128	-1.526	-0.488
 2.244	 1.011	-2.000	-0.114	 25.8	 3.128	-1.579	-0.504
 2.248	 1.021	-2.000	-0.115	 25.8	 3.075	-1.488	-0.465
 2.246	 1.016	-2.000	-0.114	 25.8	 3.075	-1.503	-0.473
 2.246	 1.014	-2.000	-0.116	 25.9	 3.075	-1.556	-0.450
 2.246	 1.014	-2.000	-0.122	 25.9	 3.014	-1.541	-0.435
 2.246	 1.014	-2.000	-0.123	 25.8	 3.075	-1.442	-0.504
 2.244	 1.011	-2.000	-0.127	 25.8	 3.113	-1.328	-0.587
 2.245	 1.011	-2.000	-0.122	 25.8	 3.082	-1.411	-0.610
